km,brand,fuel,gear,price,cv,year
235000,Bmw,Diesel,Manual,6800,118,2011
92800,Volkswagen,Gasoline,Manual,6877,124,2011
149300,Seat,Gasoline,Manual,6900,162,2011
96200,Renault,Gasoline,Manual,6950,112,2011
156000,Peugeot,Gasoline,Manual,6950,158,2011
147000,Toyota,Hybrid,Automatic,6950,100,2011
91894,Renault,Diesel,Manual,6970,133,2011
127500,Opel,Gasoline,Manual,6972,118,2011
115000,Mazda,Gasoline,Automatic,6980,152,2011
104,Ford,Diesel,Manual,6990,87,2011
59580,Opel,Diesel,Automatic,6990,102,2011
84000,Volkswagen,Gasoline,Manual,6990,106,2011
109000,Chevrolet,Gasoline,Manual,6990,143,2011
194020,Audi,Diesel,Manual,6999,122,2011
72000,Volkswagen,Gasoline,Manual,6999,61,2011
190000,Renault,Diesel,Manual,6999,152,2011
85700,Fiat,Diesel,Manual,6999,137,2011
82000,Opel,Gasoline,Manual,7000,102,2011
44800,Kia,Gasoline,Automatic,7850,87,2012
81970,Volkswagen,Gasoline,Manual,7850,106,2012
24000,Dacia,Gasoline,Manual,7900,106,2012
193333,Volkswagen,Diesel,Manual,7900,106,2012
113000,Volkswagen,Gasoline,Manual,7900,106,2012
117000,Volkswagen,Gasoline,Manual,7949,106,2012
299900,Bmw,Diesel,Manual,7950,145,2012
104250,Opel,Gasoline,Manual,7950,142,2012
151250,Peugeot,Diesel,Manual,7950,165,2012
133500,Bmw,Diesel,Manual,7980,145,2012
105000,Opel,Gasoline,Manual,7980,181,2012
114164,Ford,Gasoline,Manual,7990,127,2012
128000,Mini,Diesel,Manual,7990,91,2012
150000,Bmw,Diesel,Manual,7999,145,2012
160000,Mini,Gasoline,Manual,7999,124,2012
165000,Mercedes-Benz,Diesel,Manual,8000,111,2012
51200,Renault,Gasoline,Manual,8000,133,2012
107000,Opel,Diesel,Manual,8000,162,2012
130000,Mini,Gasoline,Manual,8000,99,2012
214000,Bmw,Diesel,Automatic,8199,187,2012
73760,Opel,Gasoline,Manual,8990,142,2013
113000,Volkswagen,Gasoline,Manual,8990,162,2013
108803,Hyundai,Diesel,Manual,8990,118,2013
7400,Opel,Gasoline,Manual,8990,102,2013
239211,Bmw,Diesel,Automatic,8990,187,2013
86980,Ford,Gasoline,Manual,8995,122,2013
98000,Volkswagen,Diesel,Automatic,8999,106,2013
98988,Ford,Diesel,Manual,8999,102,2013
41124,Opel,Gasoline,Manual,8999,102,2013
170000,Volkswagen,Diesel,Manual,8999,142,2013
240000,Kia,Gasoline,Automatic,9000,152,2013
80500,Bmw,Gasoline,Manual,9000,103,2013
195327,Ford,Diesel,Manual,9000,142,2013
143316,Volkswagen,Gasoline,Automatic,9000,142,2013
98100,Seat,Gasoline,Manual,9100,124,2013
113000,Audi,Gasoline,Manual,9100,87,2013
94000,Volkswagen,Diesel,Manual,9200,106,2013
68700,Chevrolet,Gasoline,Manual,9290,142,2013
169500,Toyota,Diesel,Manual,9300,128,2013
77000,Volkswagen,Gasoline,Automatic,9300,124,2013
45600,Ford,Gasoline,Manual,8990,81,2014
230000,Opel,Diesel,Manual,8990,142,2014
99756,Volkswagen,Gasoline,Manual,8990,106,2014
84600,Toyota,Hybrid,Automatic,8990,145,2014
73000,Hyundai,Gasoline,Manual,8990,127,2014
133180,Volkswagen,Diesel,Manual,8990,106,2014
22700,Volkswagen,Gasoline,Manual,8990,61,2014
53000,Skoda,Gasoline,Manual,8999,106,2014
149786,Bmw,Gasoline,Manual,8999,138,2014
197500,Volkswagen,Diesel,Manual,8999,142,2014
57000,Kia,Gasoline,Manual,9000,100,2014
53286,Skoda,Gasoline,Manual,9100,87,2014
84721,Toyota,Gasoline,Automatic,9200,102,2014
111000,Audi,Gasoline,Manual,9200,124,2014
87500,Seat,Diesel,Manual,9290,106,2014
55000,Skoda,Gasoline,Manual,9300,106,2014
77000,Volkswagen,Gasoline,Manual,9300,91,2014
166000,Volkswagen,Diesel,Automatic,9400,106,2014
55000,Ford,Gasoline,Manual,9450,102,2014
140000,Volkswagen,Diesel,Automatic,9990,112,2015
160000,Ford,Diesel,Automatic,9999,122,2015
240000,Audi,Diesel,Manual,9999,193,2015
28238,Opel,Gasoline,Manual,10190,142,2015
114327,Opel,Diesel,Automatic,10200,133,2015
80575,Volkswagen,Diesel,Manual,10299,106,2015
79987,Ford,Gasoline,Automatic,10444,106,2015
166554,Skoda,Diesel,Manual,10490,172,2015
47295,Ford,Gasoline,Manual,10490,102,2015
90000,Opel,Diesel,Manual,10499,172,2015
76800,Citroen,Gasoline,Manual,10580,112,2015
